nome_agente_financeiro;cnpj_cpf_cliente_mascarado;nome_cliente;porte_cliente;valor_credito;valor_garantido;valor_desembolsado;data_solicitacao_outorga;municipio_investimento;uf_investimento;municipio_sede_cliente;uf_sede_cliente;outlier_credito
BTG PACTUAL;**.*66.414/0001-**;KL FRANGO FRITO LTDA;Micro;62490.68;49992,54;62490,68;2026-04-17;MOGI-GUACU;SP;MOGI-GUACU;SP;False
BTG PACTUAL;**.*87.642/0001-**;NWB ENERGIA LTDA;Pequena;71805.58;57444,46;71805,58;2026-04-17;CASCAVEL;PR;CASCAVEL;PR;False
BTG PACTUAL;**.*93.056/0001-**;CROMEL SOLUTIONS SERVICOS EMPRESARIAIS LTDA;Pequena;19528.46;15622,77;19528,46;2026-04-17;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*87.298/0001-**;HRPX COMERCIO DE CABOS EQUIPAMENTOS ELETRICOS ELETRONICOS LTDA;Micro;15776.2;12620,96;15776,2;2026-04-20;ARACAJU;SE;ARACAJU;SE;False
BTG PACTUAL;**.*17.604/0001-**;FERNANDO ALBERTO ESTELLER LTDA;Micro;50773.8;40619,04;50773,8;2026-04-20;PORTO ALEGRE;RS;PORTO ALEGRE;RS;False
BTG PACTUAL;**.*96.986/0001-**;OKA REFORMAS E CONSTRUCOES LTDA;Pequena;45000.0;36000,0;44100,0;2026-04-22;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*31.806/0001-**;WOL FISHING IMPORTS LTDA;Micro;4565.0;3652,0;4488,31;2026-04-22;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*83.801/0001-**;MY FACILITY CORRETORA DE SEGUROS DE VIDA E EVENTOS LTDA;Micro;9190.0;7352,0;9101,78;2026-04-22;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*51.909/0001-**;MAM ASSESSORIA E PRESTADORA DE SERVICOS LTDA;Micro;19130.0;15304,0;18747,4;2026-04-23;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*84.659/0001-**;NCITEC SERVICOS DE INFORMATICA E TECNOLOGIA LTDA;Micro;12439.0;9951,2;12190,22;2026-04-23;BRASILIA;DF;BRASILIA;DF;False
BTG PACTUAL;**.*48.864/0001-**;AUTODEV TECNOLOGIA LTDA;Micro;11350.0;9080,0;11241,04;2026-04-23;BELO HORIZONTE;MG;BELO HORIZONTE;MG;False
BTG PACTUAL;**.*61.139/0001-**;EUCAMINAS COMERCIO E SERVICOS LTDA;Micro;159416.0;127532,8;156227,68;2026-04-23;RIO VERDE;GO;RIO VERDE;GO;False
BTG PACTUAL;**.*75.210/0001-**;F. A. EMBALAGENS E ARTIGOS DE FESTAS LTDA;Micro;19927.0;15941,6;19528,46;2026-04-23;PRAIA GRANDE;SP;PRAIA GRANDE;SP;False
BTG PACTUAL;**.*83.727/0001-**;GEST SAUDE UNIPESSOAL LTDA;Pequena;34274.0;27419,2;33588,52;2026-04-23;BELO HORIZONTE;MG;BELO HORIZONTE;MG;False
BTG PACTUAL;**.*07.179/0001-**;SIMPLIFY COMERCIO ELETRONICO EIMPORTACOES LTDA;Micro;22318.0;17854,4;21871,64;2026-04-24;BRASILIA;DF;BRASILIA;DF;False
BTG PACTUAL;**.*07.102/0001-**;MOTORPLAY PECAS E SERVICOS AUTOMOTIVOS LTDA;Micro;15942.0;12753,6;15623,16;2026-04-24;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*58.685/0001-**;C F LIMA AMERICAN BURGUER SLZ LTDA;Micro;7000.0;5600,0;6932,8;2026-04-27;SAO LUIS;MA;SAO LUIS;MA;False
BTG PACTUAL;**.*07.860/0001-**;MADEIRAS PROBST LTDA;Micro;24710.0;19768,0;24235,57;2026-04-27;AGRONOMICA;SC;AGRONOMICA;SC;False
BTG PACTUAL;**.*32.550/0001-**;ATECHBR LTDA;Pequena;5200.0;4160,0;5100,16;2026-04-27;SENHORA DE OLIVEIRA;MG;SENHORA DE OLIVEIRA;MG;False
BTG PACTUAL;**.*21.989/0001-**;IRMAOS WILHELM COMERCIO DE MOVEIS LTDA;Pequena;135504.0;108403,2;132902,32;2026-04-27;CASCAVEL;PR;CASCAVEL;PR;False
BTG PACTUAL;**.*14.776/0001-**;DAVI SPAGOLLA DE OLIVEIRA PROMOCAO DE VENDAS LTDA;Micro;2304.0;1843,2;2281,88;2026-04-28;GOIANIA;GO;GOIANIA;GO;False
BTG PACTUAL;**.*24.292/0001-**;VIENA MOTORS LTDA;Micro;15145.0;12116,0;14999,61;2026-04-28;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*93.596/0001-**;NEW RISE SOLUTIONS LTDA;Pequena;51810.0;41448,0;50815,25;2026-04-29;QUADRA;SP;QUADRA;SP;False
BTG PACTUAL;**.*31.778/0001-**;HC CONSTRUTORA LTDA;Micro;7971.0;6376,8;7817,96;2026-05-04;TESOURO;MT;TESOURO;MT;False
BTG PACTUAL;**.*18.513/0001-**;NERDHARD TECNOLOGIA LTDA;Micro;4159.0;3327,2;4079,15;2026-05-05;SANTANA DE PARNAIBA;SP;SANTANA DE PARNAIBA;SP;False
BTG PACTUAL;**.*44.277/0001-**;FLC TABACARIA LTDA;Micro;25507.0;20405,6;25017,27;2026-05-05;GUARANESIA;MG;GUARANESIA;MG;False
BTG PACTUAL;**.*45.670/0001-**;RICIERI COMERCIAL LTDA;Micro;22310.0;17848,0;22095,82;2026-05-07;LONDRINA;PR;LONDRINA;PR;False
BTG PACTUAL;**.*25.655/0001-**;WL NUTRA LTDA;Micro;5200.0;4160,0;5150,08;2026-05-07;PENEDO;AL;PENEDO;AL;False
BTG PACTUAL;**.*61.754/0001-**;ELITE SOLUTIONS TELECOMUNICACOES LTDA;Micro;47825.0;38260,0;47136,32;2026-05-08;MOGI DAS CRUZES;SP;MOGI DAS CRUZES;SP;False
BTG PACTUAL;**.*28.799/0001-**;JEANS4YOU COMERCIO VAREJISTA DE CONFECCOES LTDA;Micro;8000.0;6400,0;7846,4;2026-05-11;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*01.389/0001-**;NAVETECH REPARO NAVAL LTDA;Pequena;29492.0;23593,6;28925,75;2026-05-12;PARANAGUA;PR;PARANAGUA;PR;False
BTG PACTUAL;**.*04.200/0001-**;ABREU ACESSORIOS E PECAS SERVICOS PARA CAMINHOES LTDA;Micro;28695.0;22956,0;28144,06;2026-05-13;TANGUA;RJ;TANGUA;RJ;False
BTG PACTUAL;**.*44.185/0001-**;ANTONIO WILLER - SOCIEDADE INDIVIDUAL DE ADVOCACIA;Micro;16739.0;13391,2;16417,61;2026-05-14;JANUARIA;MG;JANUARIA;MG;False
BTG PACTUAL;**.*58.086/0001-**;BILHARES JARAGUA LOCACAO E COMERCIO LTDA;Micro;28695.0;22956,0;28144,06;2026-05-14;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*16.006/0001-**;DIGITALL MARKETING CONSULTORIA EM PUBLICIDADE E GESTAO DE VENDAS LTDA;Micro;10000.0;8000,0;9904,0;2026-05-14;SAO BERNARDO DO CAMPO;SP;SAO BERNARDO DO CAMPO;SP;False
BTG PACTUAL;**.*04.427/0001-**;RODRIGUES COMERCIO DE VEICULOS LTDA;Micro;125000.0;100000,0;122500,0;2026-05-15;CAMPO GRANDE;MS;CAMPO GRANDE;MS;False
BTG PACTUAL;**.*92.270/0001-**;LUIZ EDNO PEREIRA LTDA;Micro;5000.0;4000,0;4900,0;2026-05-15;SAO JOSE DOS CAMPOS;SP;SAO JOSE DOS CAMPOS;SP;False
BTG PACTUAL;**.*97.244/0001-**;PRIORIZA CORRETORA DE SEGUROS LTDA;Micro;20800.0;16640,0;20583,68;2026-05-15;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*96.066/0001-**;ARCANO ARQUITETURA LTDA;Micro;19130.0;15304,0;18747,4;2026-05-19;PATO BRANCO;PR;PATO BRANCO;PR;False
BTG PACTUAL;**.*86.263/0001-**;FEIRINHA DA VOVO DALVA LTDA;Micro;8000.0;6400,0;7916,8;2026-05-20;CANDEIAS;BA;CANDEIAS;BA;False
BTG PACTUAL;**.*90.262/0001-**;SILVA E CIA LTDA;Micro;10000.0;8000,0;9864,0;2026-05-20;BELEM;PA;BELEM;PA;False
BTG PACTUAL;**.*14.034/0001-**;WP DA SILVA TRANSPORTES LTDA;Micro;10000.0;8000,0;9848,0;2026-05-21;BARRO ALTO;GO;BARRO ALTO;GO;False
BTG PACTUAL;**.*23.320/0001-**;LUNA BELLE LTDA;Micro;17000.0;13600,0;16660,0;2026-05-22;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*32.264/0001-**;ZACK SERVICOS E TRANSPORTES LTDA;Pequena;39854.0;31883,2;39056,92;2026-05-25;BELO HORIZONTE;MG;BELO HORIZONTE;MG;False
BTG PACTUAL;**.*22.900/0001-**;ROOSEVELT BENEDITO ALVES SILVA LTDA;Pequena;69740.0;55792,0;68345,2;2026-05-25;LUCAS DO RIO VERDE;MT;LUCAS DO RIO VERDE;MT;False
BTG PACTUAL;**.*15.910/0001-**;AGIBERT ODONTOLOGIA LTDA;Pequena;23148.0;18518,4;22703,56;2026-06-02;SOROCABA;SP;SOROCABA;SP;False
BTG PACTUAL;**.*01.516/0001-**;MAZZUCA COMERCIO E IMPORTADORA E EXPORTADORA LTDA;Pequena;33477.0;26781,6;32834,24;2026-06-05;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;SP;False
BTG PACTUAL;**.*45.303/0001-**;FPS AUTOMACAO INDUSTRIAL LTDA;Pequena;7971.0;6376,8;7894,48;2026-06-05;GUARULHOS;SP;GUARULHOS;SP;False
BTG PACTUAL;**.*48.256/0001-**;CITRICOLA ALBIERI COMERCIO DE FRUTAS LTDA;Pequena;150000.0;120000,0;147120,0;2026-06-10;CONCHAL;SP;CONCHAL;SP;False
BTG PACTUAL;**.*92.299/0001-**;PB AMBIENTAL GESTAO DE RESIDUOS INDUSTRIA E COMERCIO LTDA;Pequena;300000.0;240000,0;294240,0;2026-06-11;PEDRAS DE FOGO;PB;PEDRAS DE FOGO;PB;False
BTG PACTUAL;**.*60.352/0001-**;MARCENARIA ESTUDIO VILAS BOAS IMPORTACAO E EXPORTACAO LTDA;Pequena;53514.0;42811,2;52443,72;2026-06-18;PORTO SEGURO;BA;PORTO SEGURO;BA;False
BTG PACTUAL;**.*52.686/0001-**;AUTO CAR VEICULOS LTDA;Pequena;263603.0;210882,4;258330,94;2026-06-19;GARANHUNS;PE;GARANHUNS;PE;False
BTG PACTUAL;**.*86.324/0001-**;FML ASSESSORIA EM TURISMO LTDA;Pequena;102000.0;81600,0;99960,0;2026-06-23;SANTO ANDRE;SP;SANTO ANDRE;SP;False
BTG PACTUAL;**.*65.762/0001-**;POLL BRUM ENGENHARIA E CONSTRUCAO LTDA;Pequena;87000.0;69600,0;86164,8;2026-06-24;SANTA MARIA;RS;SANTA MARIA;RS;False
BTG PACTUAL;**.*77.123/0001-**;ROYAL VEICULOS LTDA;Pequena;202000.0;161600,0;197960,0;2026-06-26;IMPERATRIZ;MA;IMPERATRIZ;MA;False
BTG PACTUAL;**.*35.904/0001-**;TRAJANO TRANSPORTADORA LTDA;Pequena;164000.0;131200,0;160720,0;2026-06-26;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BTG PACTUAL;**.*55.118/0001-**;AGRIDOCE APOIO ADMINISTRATIVO LTDA;Micro;7894.48;6315,58;7894,48;2026-04-14;PIRACICABA;SP;PIRACICABA;SP;False
BTG PACTUAL;**.*29.912/0001-**;DELTA URBANO ADMINISTRACAO DE AERONAVES LTDA;Micro;20309.52;16247,62;20309,52;2026-04-16;MOGI DAS CRUZES;SP;MOGI DAS CRUZES;SP;False
BTG PACTUAL;**.*05.304/0001-**;CLS INDUSTRIA E MONTAGEM DE MOVEIS LTDA;Micro;25729.6;20583,68;25729,6;2026-04-16;FORTALEZA;CE;FORTALEZA;CE;False
BTG PACTUAL;**.*97.209/0001-**;ATL DISTRIBUIDORA E TRANSPORTES LTDA;Pequena;195284.6;156227,68;195284,6;2026-04-20;COLINAS DO TOCANTINS;TO;COLINAS DO TOCANTINS;TO;False
BTG PACTUAL;**.*94.130/0001-**;ENZ FOTOGRAFIA PIRAJU LTDA;Micro;8960.0;7168,0;8780,8;2026-04-23;PIRAJU;SP;PIRAJU;SP;False
BTG PACTUAL;**.*48.742/0001-**;ALEXANDRO DE PAIVA LTDA;Micro;11956.0;9564,8;11841,22;2026-04-27;LORENA;SP;LORENA;SP;False
BTG PACTUAL;**.*35.270/0001-**;SEBASTIAO OLIVEIRA CONSULTORIA DE TI LTDA;Micro;32280.0;25824,0;31660,22;2026-04-29;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*36.351/0001-**;DIVINO VEICULOS LTDA;Micro;13563.0;10850,4;13432,8;2026-05-04;VILA VELHA;ES;VILA VELHA;ES;False
BTG PACTUAL;**.*83.680/0001-**;LEAR INDUSTRIA E COMERCIO LTDA;Micro;9300.0;7440,0;9210,72;2026-05-04;LAJEADO;RS;LAJEADO;RS;False
BTG PACTUAL;**.*28.338/0001-**;SOMA AUDIO E ENTRETENIMENTO LTDA;Micro;20400.0;16320,0;20008,32;2026-05-04;DUQUE DE CAXIAS;RJ;DUQUE DE CAXIAS;RJ;False
BTG PACTUAL;**.*79.576/0001-**;BRAVIE FIRE PREVENCAO CONTRA INCENDIO LTDA;Pequena;50000.0;40000,0;49040,0;2026-05-07;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*72.860/0001-**;SOLVAZ ENGENHARIA E CONSULTORIA LTDA;Pequena;71737.0;57389,6;70359,65;2026-05-07;CUIABA;MT;CUIABA;MT;False
BTG PACTUAL;**.*29.171/0001-**;CARVALHO VEICULOS LTDA;Micro;18400.0;14720,0;18046,72;2026-05-08;GARANHUNS;PE;GARANHUNS;PE;False
BTG PACTUAL;**.*87.029/0001-**;EXCLUSIVA COMERCIO DE PRODUTOS LTDA;Micro;32680.0;26144,0;32183,26;2026-05-18;FLORIANOPOLIS;SC;FLORIANOPOLIS;SC;False
BTG PACTUAL;**.*58.957/0001-**;C&S SERVICES ENGENHARIA LTDA;Micro;21000.0;16800,0;20781,6;2026-05-19;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*01.425/0001-**;DGF TRANSPORTES LTDA;Pequena;39854.0;31883,2;39088,8;2026-06-05;RONDONOPOLIS;MT;RONDONOPOLIS;MT;False
BTG PACTUAL;**.*65.479/0001-**;SILVA & NASCIMENTO IMPERMEABILIZACAO LTDA;Micro;91530.0;73224,0;89699,4;2026-06-15;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*11.571/0001-**;PANIFICADORA E CONFEITARIA UNIVERSO DAS DELICIAS LTDA;Pequena;193000.0;154400,0;189140,0;2026-06-25;SANTO ANDRE;SP;SANTO ANDRE;SP;False
BRADESCO;**.*35.821/0001-**;A. C. SANTIAGO DOS SANTOS LTDA;Pequena;315126.05;252100,84;300000,0;2025-07-01;CAMPO GRANDE;MS;CAMPO GRANDE;MS;False
BRADESCO;**.*71.026/0001-**;DOOR MATECH ESQUADRIAS DE ALUMINIO LTDA -;Pequena;157563.03;126050,42;150000,0;2025-07-01;BARUERI;SP;BARUERI;SP;False
BRADESCO;**.*17.256/0001-**;FF COMERCIO DE MOTOS LTDA;Pequena;210084.03;168067,22;200000,0;2025-07-01;CAMPO GRANDE;MS;CAMPO GRANDE;MS;False
BRADESCO;**.*85.246/0001-**;L D VAZARIM TRANSPORTES;Pequena;210084.03;168067,22;200000,0;2025-07-01;TURMALINA;SP;TURMALINA;SP;False
BRADESCO;**.*85.400/0001-**;JC7 CONFECCAO LTDA;Pequena;37437.6;29950,08;36000,0;2025-07-01;SAO BERNARDO DO CAMPO;SP;SAO BERNARDO DO CAMPO;SP;False
BRADESCO;**.*29.355/0001-**;BARBOSA & SILVA CORRETORA DE GRAOS LTDA;Pequena;103993.34;83194,67;100000,0;2025-07-01;BALSAS;MA;BALSAS;MA;False
BRADESCO;**.*32.659/0001-**;MY INTERCAMBIO E VIAGENS EIRELI;Pequena;85690.52;68552,42;82400,0;2025-07-01;RECIFE;PE;RECIFE;PE;False
BRADESCO;**.*86.858/0001-**;A7SAFE GESTAO FINANCEIRA LTDA;Pequena;262605.04;210084,03;250000,0;2025-07-01;PETROLINA;PE;PETROLINA;PE;False
BRADESCO;**.*42.162/0001-**;TAGS TRANSLATIONS - TRADUCOES E INTERPRETACOES LTDA;Pequena;79831.93;63865,54;76000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*11.058/0001-**;G.S.FANTINI & CIA LTDA;Pequena;93594.01;74875,21;90000,0;2025-07-01;ARMACAO DOS BUZIOS;RJ;ARMACAO DOS BUZIOS;RJ;False
BRADESCO;**.*79.857/0001-**;A L DE LIMA LTDA;Pequena;36037.89;28830,31;35000,0;2025-07-01;CRAIBAS;AL;CRAIBAS;AL;False
BRADESCO;**.*13.241/0001-**;LENITA APARECIDA DE MEDEIROS;Pequena;52521.01;42016,81;50000,0;2025-07-01;SAO SIMAO;GO;SAO SIMAO;GO;False
BRADESCO;**.*67.654/0001-**;JESSICA MARIA GRACIANO;Pequena;207986.69;166389,35;200000,0;2025-07-01;PIRANGI;SP;PIRANGI;SP;False
BRADESCO;**.*75.574/0001-**;FOGAO TECH MANUTENCAO E SERVICOS LTDA;Pequena;126050.42;100840,34;120000,0;2025-07-01;SAO BERNARDO DO CAMPO;SP;SAO BERNARDO DO CAMPO;SP;False
BRADESCO;**.*61.403/0001-**;SALIM ABOUD;Pequena;215336.13;172268,9;205000,0;2025-07-01;JACI;SP;JACI;SP;False
BRADESCO;**.*65.407/0001-**;ESCOLA DE EDUCACAO BASICA PAZOTI & FREITAS LTDA;Pequena;62396.01;49916,81;60000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*39.627/0001-**;RICARDO MUSTAFE CONSULIN;Pequena;129991.68;103993,34;125000,0;2025-07-01;SUMARE;SP;SUMARE;SP;False
BRADESCO;**.*39.719/0001-**;JM MERCADO E DISTRIBUIDORA LTDA;Pequena;155990.02;124792,02;150000,0;2025-07-01;BRASILIA;DF;BRASILIA;DF;False
BRADESCO;**.*62.643/0001-**;CHURRASCARIA VELHO OESTE LTDA;Pequena;93594.01;74875,21;90000,0;2025-07-01;TERESINA;PI;TERESINA;PI;False
BRADESCO;**.*14.878/0001-**;C.S.DA CRUZ COMERCIO DE BONES LTDA;Pequena;311980.03;249584,02;300000,0;2025-07-01;MARABA;PA;MARABA;PA;False
BRADESCO;**.*68.283/0001-**;W A DE SOUZA LTDA;Pequena;102965.4;82372,32;100000,0;2025-07-01;ITAPIRATINS;TO;ITAPIRATINS;TO;False
BRADESCO;**.*29.098/0001-**;PANIFICADORA FLOR DO CAMPO BELO LTDA EPP;Pequena;498949.58;399159,66;475000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*43.112/0001-**;DRC ENGENHARIA LTDA;Pequena;104953.82;83963,06;100000,0;2025-07-01;NEROPOLIS;GO;NEROPOLIS;GO;False
BRADESCO;**.*09.735/0001-**;JACANAU CONSTRUCOES LTDA;Pequena;311980.03;249584,02;300000,0;2025-07-01;MARACANAU;CE;MARACANAU;CE;False
BRADESCO;**.*04.801/0001-**;GABRIEL JEREMIAS MOREIRA LUCIO;Pequena;178571.43;142857,14;170000,0;2025-07-01;ARAXA;MG;ARAXA;MG;False
BRADESCO;**.*60.929/0001-**;GIROKAR VEICULOS EIRELI;Pequena;360378.91;288303,13;350000,0;2025-07-01;CARAPICUIBA;SP;CARAPICUIBA;SP;False
BRADESCO;**.*38.004/0001-**;M. T. A. DE OLIVEIRA LTDA;Pequena;61779.24;49423,39;60000,0;2025-07-01;SINOP;MT;SINOP;MT;False
BRADESCO;**.*50.086/0001-**;CENTRAL DO CELULAR COMERCIO E SERVICOS LTDA;Pequena;124474.79;99579,83;118500,0;2025-07-01;SAO FRANCISCO DO PARA;PA;SAO FRANCISCO DO PARA;PA;False
BRADESCO;**.*70.799/0001-**;EXATA MOGI CONTABIL LTDA - ME;Pequena;51996.67;41597,34;50000,0;2025-07-01;MOGI MIRIM;SP;MOGI MIRIM;SP;False
BRADESCO;**.*98.809/0001-**;MANOEL GILMAR ARAGAO;Pequena;155990.02;124792,02;150000,0;2025-07-01;CANINDE DE SAO FRANCISCO;SE;CANINDE DE SAO FRANCISCO;SE;False
BRADESCO;**.*38.633/0001-**;G W MATERIAL DE CONSTRUCAO LTDA - ME;Pequena;154448.11;123558,49;150000,0;2025-07-01;PAU DOS FERROS;RN;PAU DOS FERROS;RN;False
BRADESCO;**.*74.624/0001-**;OBERDAN LOPES DOS SANTOS EXPORTACAO;Pequena;89285.71;71428,57;85000,0;2025-07-01;COARACI;BA;COARACI;BA;False
BRADESCO;**.*73.480/0001-**;MARIA DA PAZ GAMA CARDOSO ME;Pequena;103993.34;83194,67;100000,0;2025-07-01;BEBERIBE;CE;BEBERIBE;CE;False
BRADESCO;**.*92.059/0001-**;METATRON PECAS PARA VEICULOS LTDA;Pequena;91386.55;73109,24;87000,0;2025-07-01;CURITIBA;PR;CURITIBA;PR;False
BRADESCO;**.*35.325/0001-**;ISRRAEL REIS CAVALCANTE;Pequena;311980.03;249584,02;300000,0;2025-07-01;QUIJINGUE;BA;QUIJINGUE;BA;False
BRADESCO;**.*00.863/0001-**;MOUNT OLIVE PARTNERS PROJETOS E SERVICOS LTDA - EPP;Pequena;181988.35;145590,68;175000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*88.340/0001-**;G&R MULTISERVICOS EIRELI - ME;Pequena;46797.0;37437,6;45000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*67.162/0001-**;J.ROBERTO TRANSPORTES LTDA;Pequena;388655.46;310924,37;370000,0;2025-07-01;LINHARES;ES;LINHARES;ES;False
BRADESCO;**.*51.967/0001-**;SERIO MATERIAIS DE CONSTRUCAO LTDA;Pequena;155990.02;124792,02;150000,0;2025-07-01;AUGUSTO CORREA;PA;AUGUSTO CORREA;PA;False
BRADESCO;**.*48.194/0001-**;A. F. VIEIRA COMERCIO DE VARIEDADES ME;Pequena;241596.64;193277,31;230000,0;2025-07-01;OURILANDIA DO NORTE;PA;OURILANDIA DO NORTE;PA;False
BRADESCO;**.*68.215/0001-**;F. P. B. LTDA.;Pequena;73529.41;58823,53;70000,0;2025-07-01;SAO LUIS;MA;SAO LUIS;MA;False
BRADESCO;**.*58.831/0001-**;ABIATAR COMISSARIA DE DESPACHOS E REPRESENTACOES LTDA;Pequena;105042.02;84033,62;100000,0;2025-07-01;URUGUAIANA;RS;URUGUAIANA;RS;False
BRADESCO;**.*50.971/0001-**;RAMOS & BOECHAT CHOCOLATES FINOS LTDA;Pequena;50978.79;40783,03;50000,0;2025-07-01;ITAPEVA;SP;ITAPEVA;SP;False
BRADESCO;**.*82.761/0001-**;MDPF PINTURAS LTDA;Pequena;78781.51;63025,21;75000,0;2025-07-01;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*15.001/0001-**;Y.A.MIRANDA COMERCIO DE PRODUTOS ALIMENTICIOS LIMITADA;Pequena;103993.34;83194,67;100000,0;2025-07-01;CUIABA;MT;CUIABA;MT;False
BRADESCO;**.*59.123/0001-**;PORTO, OLIVEIRA & LEMOS SERVICOS MEDICOS LTDA;Pequena;324341.02;259472,82;315000,0;2025-07-04;GOIANIA;GO;GOIANIA;GO;False
BRADESCO;**.*66.991/0001-**;L.DOS SANTOS DE FREITAS RACOES LTDA;Pequena;341386.55;273109,24;325000,0;2025-07-01;SAO VICENTE;SP;SAO VICENTE;SP;False
BRADESCO;**.*68.305/0001-**;BN CONSTRUCAO E SERVICOS LTDA;Pequena;157563.03;126050,42;150000,0;2025-07-01;VITORIA DE SANTO ANTAO;PE;VITORIA DE SANTO ANTAO;PE;False
BRADESCO;**.*34.376/0001-**;L LEOTTI DE SOUZA;Pequena;157563.03;126050,42;150000,0;2025-07-01;GRAVATAI;RS;GRAVATAI;RS;False
